TANK BULKHEAD DATA Group 22; Version 2.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
722.4863,48.0508, 7.4727, 14,2.693,94.304
47.1961,2.693, 6.2503, 10.0647,2.193,3.193
629.0252,62.2815, 3.5, 7.5299,37.9766,86.5865
428.5737,21.1513, 3.5, 7.8736,2.693,37.9766
99.8672,90.4452, 3.5, 7.5299,86.5865,94.304
43.4942,94.304, 5.4, 8.8738,93.804,94.804
310.4973,53.1466, 5.6816, 1.0597,18.7397,94.304
1185.4723,48.4985, 11.8468, 7.5299,2.693,94.304
25.1016,87.6202, 10.9717, 14,56.7647,94.304
60.8132,2.693, 8.7778, 5.5626,2.193,3.193
28.0062,7.8403, 3.5, 2.2696,2.693,18.7397
64.5152,94.304, 9.206, 6.6238,93.804,94.804
454.1572,45.3207, 9.0351, 1.0597,2.693,94.304
17.0666,9.913, 11.3193, 14,2.693,29.696
340.2689,62.2815, 0, 14,37.9766,86.5865
629.0252,62.2815, -3.5, 7.5299,37.9766,86.5865
90.582,86.5865, 0, 7.5299,86.0865,87.0865
90.582,37.9766, 0, 7.5299,37.4766,38.4766
340.2689,62.2815, 0, 1.0597,37.9766,86.5865
722.4863,48.0508, -7.4727, 14,2.693,94.304
1185.4723,48.4985, -11.8468, 7.5299,2.693,94.304
64.5152,94.304, -9.206, 6.6238,93.804,94.804
28.0062,7.8403, -3.5, 2.2696,2.693,18.7397
60.8132,2.693, -8.7778, 5.5626,2.193,3.193
454.1572,45.3207, -9.0351, 1.0597,2.693,94.304
25.1016,87.6202, -10.9717, 14,56.7647,94.304
17.0666,9.913, -11.3193, 14,2.693,29.696
43.4942,94.304, -5.4, 8.8738,93.804,94.804
99.8672,90.4452, -3.5, 7.5299,86.5865,94.304
428.5737,21.1513, -3.5, 7.8736,2.693,37.9766
47.1961,2.693, -6.2503, 10.0647,2.193,3.193
310.4973,53.1466, -5.6816, 1.0597,18.7397,94.304
