TANK BULKHEAD DATA Group 22; Version 4.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
935.1008,99.2011, 4.35, 7.4956,68.0122,130.391
777.3414,41.9818, 4.35, 7.6466,14.997,68.0122
119.8206,134.4047, 4.35, 7.6017,130.391,138.5032
95.515,14.997, 8.1455, 8.738,14.497,15.497
935.1009,99.2011, -4.35, 7.4956,68.0122,130.391
130.4109,130.391, 0, 7.4961,129.891,130.891
130.4217,68.0122, 0, 7.4955,67.5122,68.5122
119.8206,134.4047, -4.35, 7.6017,130.391,138.5032
777.3414,41.9818, -4.35, 7.6466,14.997,68.0122
95.515,14.997, -8.1455, 8.738,14.497,15.497
