TANK BULKHEAD DATA Group 22; Version 2.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
934.8114,99.1979, 4.35, 7.495,68.0122,130.391
778.939,41.9391, 4.35, 7.6302,14.997,68.0122
50.4629,132.1044, 4.35, 7.7266,130.391,133.8685
96.2491,14.997, 8.145, 8.6846,14.497,15.497
934.8114,99.1979, -4.35, 7.495,68.0122,130.391
130.2816,130.391, 0, 7.5005,129.891,130.891
130.3956,68.0122, 0, 7.494,67.5122,68.5122
50.4629,132.1044, -4.35, 7.7266,130.391,133.8685
778.939,41.9391, -4.35, 7.6302,14.997,68.0122
96.2491,14.997, -8.145, 8.6846,14.497,15.497
