TANK BULKHEAD DATA Group 98; Version 1.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
934.9137,99.2011, 4.35, 7.4941,68.0122,130.391
777.1858,41.9818, 4.35, 7.6451,14.997,68.0122
119.7813,134.4042, 4.35, 7.6002,130.391,138.5022
95.4582,14.997, 8.144, 8.7362,14.497,15.497
934.9137,99.2011, -4.35, 7.4941,68.0122,130.391
130.3848,130.391, 0, 7.4946,129.891,130.891
130.3956,68.0122, 0, 7.494,67.5122,68.5122
119.7813,134.4042, -4.35, 7.6002,130.391,138.5022
777.1858,41.9818, -4.35, 7.6451,14.997,68.0122
95.4582,14.997, -8.144, 8.7362,14.497,15.497
