TANK BULKHEAD DATA Group 22; Version 7.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
935.5999,99.2011, 4.35, 7.4996,68.0122,130.391
777.7562,41.9818, 4.35, 7.6507,14.997,68.0122
119.9252,134.406, 4.35, 7.6057,130.391,138.5059
95.6667,14.997, 8.1495, 8.7426,14.497,15.497
935.5999,99.2011, -4.35, 7.4996,68.0122,130.391
130.4805,130.391, 0, 7.5001,129.891,130.891
130.4913,68.0122, 0, 7.4995,67.5122,68.5122
119.9252,134.406, -4.35, 7.6057,130.391,138.5059
777.7562,41.9818, -4.35, 7.6507,14.997,68.0122
95.6667,14.997, -8.1495, 8.7426,14.497,15.497
