TANK BULKHEAD DATA Group 22; Version 3.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
935.0385,99.2011, 4.35, 7.4951,68.0122,130.391
777.2896,41.9818, 4.35, 7.6461,14.997,68.0122
119.8075,134.4045, 4.35, 7.6012,130.391,138.5029
95.4961,14.997, 8.145, 8.7374,14.497,15.497
935.0385,99.2011, -4.35, 7.4951,68.0122,130.391
130.4022,130.391, 0, 7.4956,129.891,130.891
130.413,68.0122, 0, 7.495,67.5122,68.5122
119.8075,134.4045, -4.35, 7.6012,130.391,138.5029
777.2896,41.9818, -4.35, 7.6461,14.997,68.0122
95.4961,14.997, -8.145, 8.7374,14.497,15.497
