TANK BULKHEAD DATA Group 22; Version 21.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
19.2934,11, 6.3433, 5.6912,10.5,11.5
340.2344,44.1348, 5, 4.7271,24.143,64.143
110.4061,17.6298, 5, 4.7785,11,24.143
99.1171,70.0957, 5, 4.9012,64.143,76.3152
8.383,76.3152, 5.7474, 6.4835,75.8152,76.8152
0.0478,64.143, -4.8487, 0.3762,63.643,64.643
14.7181,44.5354, -4.8154, 0.306,24.143,64.143
6.7256,44.5568, -5, 0.3904,24.143,64.143
0.0285,24.143, -4.8822, 0.3598,23.643,24.643
340.2344,44.1348, -5, 4.7271,24.143,64.143
86.6445,64.143, 0, 4.6477,63.643,64.643
86.683,24.143, 0, 4.6458,23.643,24.643
370.5637,44.1118, 0, 0.306,24.143,64.143
0.0478,64.143, 4.8487, 0.3762,63.643,64.643
6.7256,44.5568, 5, 0.3904,24.143,64.143
0.0285,24.143, 4.8822, 0.3598,23.643,24.643
14.7181,44.5354, 4.8154, 0.306,24.143,64.143
19.2934,11, -6.3433, 5.6912,10.5,11.5
99.1171,70.0957, -5, 4.9012,64.143,76.3152
110.4061,17.6298, -5, 4.7785,11,24.143
8.383,76.3152, -5.7474, 6.4835,75.8152,76.8152
