TANK BULKHEAD DATA Group 22; Version 25.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
33.0557,11, 7.1607, 5.4737,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
231.694,42.7691, 5, 4.4091,11,76.3152
19.1629,76.3152, 6.3755, 5.8643,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
33.0557,11, -7.1607, 5.4737,10.5,11.5
231.694,42.7691, -5, 4.4091,11,76.3152
19.1629,76.3152, -6.3755, 5.8643,75.8152,76.8152
