TANK BULKHEAD DATA Group 22; Version 26.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
36.5589,11, 7.3655, 5.4368,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
234.5597,42.8256, 5, 4.3569,11,76.3152
21.9891,76.3152, 6.5373, 5.7767,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
36.5589,11, -7.3655, 5.4368,10.5,11.5
234.5597,42.8256, -5, 4.3569,11,76.3152
21.9891,76.3152, -6.5373, 5.7767,75.8152,76.8152
