TANK BULKHEAD DATA Group 22; Version 30.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
44.196,11, 7.8149, 5.3727,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
236.7851,42.9245, 5, 4.3172,11,76.3152
27.8953,76.3152, 6.8725, 5.6334,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
44.196,11, -7.8149, 5.3727,10.5,11.5
236.7851,42.9245, -5, 4.3172,11,76.3152
27.8953,76.3152, -6.8725, 5.6334,75.8152,76.8152
