TANK BULKHEAD DATA Group 22; Version 1.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
38.1886,11, 7.6178, 5.6605,10.5,11.5
347.76,44.143, 5, 4.653,24.143,64.143
234.6707,43.2473, 5, 4.3711,11,76.3152
27.8576,76.3152, 6.8686, 5.653,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
347.76,44.143, -5, 4.653,24.143,64.143
86.94,64.143, 0, 4.653,63.643,64.643
86.94,24.143, 0, 4.653,23.643,24.643
38.1886,11, -7.6178, 5.6605,10.5,11.5
234.6707,43.2473, -5, 4.3711,11,76.3152
27.8576,76.3152, -6.8686, 5.653,75.8152,76.8152
