TANK BULKHEAD DATA Group 22; Version 34.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
46.3326,11, 7.9387, 5.3292,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
236.7894,42.9251, 5, 4.3171,11,76.3152
28.5103,76.3152, 6.8975, 5.5957,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
46.3326,11, -7.9387, 5.3292,10.5,11.5
236.7894,42.9251, -5, 4.3171,11,76.3152
28.5103,76.3152, -6.8975, 5.5957,75.8152,76.8152
