TANK BULKHEAD DATA Group 22; Version 13.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
42.7678,11, 7.7529, 5.4164,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
237.4462,43.1103, 5, 4.3054,11,76.3152
40.9294,76.3152, 7.5351, 5.3037,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
42.7678,11, -7.7529, 5.4164,10.5,11.5
237.4462,43.1103, -5, 4.3054,11,76.3152
40.9294,76.3152, -7.5351, 5.3037,75.8152,76.8152
