TANK BULKHEAD DATA Group 22; Version 14.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
42.5011,11, 7.7451, 5.429,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
237.4305,43.1448, 5, 4.3056,11,76.3152
43.196,76.3152, 7.6488, 5.2566,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
42.5011,11, -7.7451, 5.429,10.5,11.5
237.4305,43.1448, -5, 4.3056,11,76.3152
43.196,76.3152, -7.6488, 5.2566,75.8152,76.8152
