TANK BULKHEAD DATA Group 22; Version 11.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
43.3139,11, 7.7687, 5.3908,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
237.1931,43.0092, 5, 4.3101,11,76.3152
33.1696,76.3152, 7.1406, 5.4815,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
43.3139,11, -7.7687, 5.3908,10.5,11.5
237.1931,43.0092, -5, 4.3101,11,76.3152
33.1696,76.3152, -7.1406, 5.4815,75.8152,76.8152
