TANK BULKHEAD DATA Group 22; Version 22.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
22.6808,11, 6.5477, 5.6235,10.5,11.5
346.0022,44.1356, 5, 4.655,24.143,64.143
112.3131,17.6282, 5, 4.706,11,24.143
101.5102,70.1217, 5, 4.8055,64.143,76.3152
10.9577,76.3152, 5.9004, 6.2689,75.8152,76.8152
0.0053,64.143, -4.9469, 0.3281,63.643,64.643
2.3281,46.7688, -4.9668, 0.306,24.143,64.143
0.9579,46.7968, -5, 0.3197,24.143,64.143
0.0005,24.143, -4.9836, 0.3128,23.643,24.643
346.0021,44.1356, -5, 4.655,24.143,64.143
86.7294,64.143, 0, 4.6435,63.643,64.643
86.739,24.143, 0, 4.643,23.643,24.643
395.3439,44.112, 0, 0.306,24.143,64.143
0.0053,64.143, 4.9469, 0.3281,63.643,64.643
0.9579,46.7968, 5, 0.3197,24.143,64.143
0.0005,24.143, 4.9836, 0.3128,23.643,24.643
2.3281,46.7688, 4.9668, 0.306,24.143,64.143
22.6808,11, -6.5477, 5.6235,10.5,11.5
101.5102,70.1217, -5, 4.8055,64.143,76.3152
112.3131,17.6282, -5, 4.706,11,24.143
0.0001,55.1924, -5, 0.328,51.8393,58.826
0,61.2274, -5, 0.3472,60.2322,62.2162
10.9577,76.3152, -5.9004, 6.2689,75.8152,76.8152
