TANK BULKHEAD DATA Group 22; Version 31.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
44.8664,11, 7.8575, 5.3674,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
236.786,42.9247, 5, 4.3172,11,76.3152
28.0896,76.3152, 6.8821, 5.6251,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
44.8664,11, -7.8575, 5.3674,10.5,11.5
236.786,42.9247, -5, 4.3172,11,76.3152
28.0896,76.3152, -6.8821, 5.6251,75.8152,76.8152
