TANK BULKHEAD DATA Group 22; Version 8.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
41.3624,11, 7.7005, 5.4974,10.5,11.5
347.76,44.143, 5, 4.653,24.143,64.143
237.301,43.1646, 5, 4.3263,11,76.3152
36.5847,76.3152, 7.3176, 5.434,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
347.76,44.143, -5, 4.653,24.143,64.143
86.94,64.143, 0, 4.653,63.643,64.643
86.94,24.143, 0, 4.653,23.643,24.643
41.3624,11, -7.7005, 5.4974,10.5,11.5
237.301,43.1646, -5, 4.3263,11,76.3152
36.5847,76.3152, -7.3176, 5.434,75.8152,76.8152
