TANK BULKHEAD DATA Group 22; Version 3.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
42.559,11, 7.6652, 5.3271,10.5,11.5
346.96,42.1507, 5, 4.643,22.1507,62.1507
237.4262,45.9058, 5, 4.3059,11,76.3152
27.5609,76.3152, 6.8709, 5.6856,75.8152,76.8152
400,42.1507, 0, 0.306,22.1507,62.1507
346.96,42.1507, -5, 4.643,22.1507,62.1507
86.74,62.1507, 0, 4.643,61.6507,62.6507
86.74,22.1507, 0, 4.643,21.6507,22.6507
42.559,11, -7.6652, 5.3271,10.5,11.5
237.4262,45.9058, -5, 4.3059,11,76.3152
27.5609,76.3152, -6.8709, 5.6856,75.8152,76.8152
