TANK BULKHEAD DATA Group 22; Version 15.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
42.2387,11, 7.7375, 5.4415,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
237.3652,43.1743, 5, 4.3066,11,76.3152
44.7027,76.3152, 7.7234, 5.2249,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
42.2387,11, -7.7375, 5.4415,10.5,11.5
237.3652,43.1743, -5, 4.3066,11,76.3152
44.7027,76.3152, -7.7234, 5.2249,75.8152,76.8152
