TANK BULKHEAD DATA Group 22; Version 23.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
26.1092,11, 6.752, 5.5659,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
220.9346,42.6309, 5, 4.6126,11,76.3152
13.6317,76.3152, 6.0565, 6.1023,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
26.1092,11, -6.752, 5.5659,10.5,11.5
220.9346,42.6309, -5, 4.6126,11,76.3152
13.6317,76.3152, -6.0565, 6.1023,75.8152,76.8152
