TANK BULKHEAD DATA Group 22; Version 16.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
41.9809,11, 7.7299, 5.4538,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
237.2669,43.2008, 5, 4.3082,11,76.3152
45.7232,76.3152, 7.7734, 5.2033,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
41.9809,11, -7.7299, 5.4538,10.5,11.5
237.2669,43.2008, -5, 4.3082,11,76.3152
45.7232,76.3152, -7.7734, 5.2033,75.8152,76.8152
