TANK BULKHEAD DATA Group 22; Version 19.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
41.2348,11, 7.708, 5.4895,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
236.8559,43.2727, 5, 4.315,11,76.3152
47.4039,76.3152, 7.8561, 5.1697,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
41.2348,11, -7.708, 5.4895,10.5,11.5
236.8559,43.2727, -5, 4.315,11,76.3152
47.4039,76.3152, -7.8561, 5.1697,75.8152,76.8152
