TANK BULKHEAD DATA Group 22; Version 20.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
15.9572,11, 6.1387, 5.7726,10.5,11.5
333.184,44.1336, 5, 4.8152,24.143,64.143
108.0743,17.632, 5, 4.8671,11,24.143
95.9458,70.0509, 5, 5.0255,64.143,76.3152
5.9658,76.3152, 5.5975, 6.7592,75.8152,76.8152
0.1416,64.143, -4.7535, 0.4338,63.643,64.643
27.1082,44.3436, -4.6609, 0.306,24.143,64.143
13.776,44.369, -5, 0.4784,24.143,64.143
0.1069,24.143, -4.7839, 0.416,23.643,24.643
333.184,44.1336, -5, 4.8152,24.143,64.143
86.4568,64.143, 0, 4.6568,63.643,64.643
86.5262,24.143, 0, 4.6534,23.643,24.643
345.7835,44.1115, 0, 0.306,24.143,64.143
0.1416,64.143, 4.7535, 0.4338,63.643,64.643
13.776,44.369, 5, 0.4784,24.143,64.143
0.1069,24.143, 4.7839, 0.416,23.643,24.643
27.1082,44.3436, 4.6609, 0.306,24.143,64.143
15.9572,11, -6.1387, 5.7726,10.5,11.5
95.9458,70.0509, -5, 5.0255,64.143,76.3152
108.0743,17.632, -5, 4.8671,11,24.143
5.9658,76.3152, -5.5975, 6.7592,75.8152,76.8152
